15	0
-0.444852 +0.004926 -0.895590 -143.848136 
-0.016899 -0.999852 +0.002895 +0.535620 
-0.895444 +0.016423 +0.444870 +75.433315 
+0.000000 +0.000000 +0.000000 +1.000000 
15	1
-0.254878 +0.286934 -0.923420 -148.996777 
-0.958052 +0.054485 +0.281367 +52.053285 
+0.131047 +0.956400 +0.261011 +41.418938 
+0.000000 +0.000000 +0.000000 +1.000000 
15	2
+0.121547 -0.004928 -0.992573 -161.790120 
+0.016899 +0.999852 -0.002895 -0.535620 
+0.992442 -0.016422 +0.121613 +15.630237 
+0.000000 +0.000000 +0.000000 +1.000000 
15	3
-0.284923 -0.286940 -0.914595 -147.364025 
+0.958052 -0.054485 -0.281367 -52.053285 
+0.030903 -0.956398 +0.290427 +46.861206 
+0.000000 +0.000000 +0.000000 +1.000000
7	0
+0.000000 +0.000000 +0.000000 +0.000000
+0.000000 +0.000000 +0.000000 +0.000000
+0.000000 +0.000000 +0.000000 +1.000000
+0.000000 +0.000000 +0.000000 +1.000000
7	1
+0.000000 +0.000000 +0.000000 +0.000000
+0.000000 +0.000000 +0.000000 +0.000000
+0.000000 +0.000000 +0.000000 +1.000000
+0.000000 +0.000000 +0.000000 +1.000000
7	2
+0.000000 +0.000000 +0.000000 +0.000000
+0.000000 +0.000000 +0.000000 +0.000000
+0.000000 +0.000000 +0.000000 +1.000000
+0.000000 +0.000000 +0.000000 +1.000000
