#clu	cry	seg	phi	theta	rho
6	2	4	123.51	 77.26	261.11
6	2	5	131.47	 77.43	255.94
6	2	6	127.50	 75.05	258.01
7	0	0	 25.88	 84.06	253.80
7	0	1	 28.01	 88.13	254.70
7	0	2	 30.47	 84.31	250.11
7	0	3	 23.58	 87.81	259.10
7	0	4	 21.45	 83.85	259.05
7	0	5	 28.29	 80.17	250.05
7	0	6	 23.71	 79.98	254.54
7	1	0	 38.43	 77.77	245.44
7	1	1	 41.21	 73.86	245.98
7	1	2	 36.28	 73.49	246.23
7	1	3	 43.28	 78.15	246.05
7	1	4	 40.50	 82.07	246.35
7	1	5	 33.57	 77.48	246.53
7	1	6	 35.73	 81.70	246.59
7	2	0	 26.25	 70.26	253.16
7	2	1	 21.55	 70.33	258.41
7	2	2	 23.81	 74.24	254.28
7	2	3	 23.95	 66.37	258.11
7	2	4	 28.81	 66.32	253.68
7	2	5	 28.50	 74.32	249.78
7	2	6	 31.11	 70.32	249.48

