#run	time  	dead	rate	act	A	nuc
475	3735.0	0	8302 	23484.2	60	Co
469	2703.1	0	7336 	26565.8	88	Y
455	3629.2	0	2306 	6349.4 	152	Eu
468	2060.9	0	7149 	50773.6 133	Ba
470	5294.5	0	2059 	0	-1	BG
